source,relation,target
MEU_50_1,should_include,Law_13
MEU_50_1,should_include,Law_14
MEU_50_1,should_include,Law_15
MEU_50_1,should_include,Law_17
MEU_50_1,should_include,Law_19
MEU_50_1,should_include,Law_20
MEU_52_1,should_include,Law_22
MEU_52_1,should_include,Law_23
MEU_52_1,should_include,Law_24
MEU_52_1,should_include,Law_25
MEU_52_1,should_include,Law_26
MEU_52_1,should_include,Law_27
MEU_52_1,should_include,Law_28
MEU_52_1,should_include,Law_29
MEU_52_1,should_include,Law_30
MEU_52_1,should_include,Law_31
MEU_52_1,should_include,Law_32
MEU_52_1,should_include,Law_33
MEU_68_2,should_include,Law_24
MEU_68_3,should_include,Law_25
MEU_68_4,should_include,Law_33
MEU_52_2,should_include,Law_26
MEU_13_7,exclude,MEU_13_1
MEU_17_5,exclude,MEU_17_1
MEU_17_5,exclude,MEU_17_2
MEU_17_5,exclude,MEU_17_3
MEU_17_5,exclude,MEU_17_4
MEU_5_1,refer_to,《回购规则》
MEU_33_1,refer_to,《公司法》
MEU_50_1,refer_to,Law_13
MEU_50_1,refer_to,Law_14
MEU_50_1,refer_to,Law_15
MEU_50_1,refer_to,Law_17
MEU_50_1,refer_to,Law_19
MEU_50_1,refer_to,Law_20
MEU_52_1,refer_to,Law_22
MEU_52_1,refer_to,Law_23
MEU_52_1,refer_to,Law_24
MEU_52_1,refer_to,Law_25
MEU_52_1,refer_to,Law_26
MEU_52_1,refer_to,Law_27
MEU_52_1,refer_to,Law_28
MEU_52_1,refer_to,Law_29
MEU_52_1,refer_to,Law_30
MEU_52_1,refer_to,Law_31
MEU_52_1,refer_to,Law_32
MEU_52_1,refer_to,Law_33
MEU_61_1,refer_to,Law_38
MEU_62_1,refer_to,Law_36
MEU_68_1,refer_to,《北京证券交易所持续监管指引第3号——股权激励和员工持股计划》
MEU_68_2,refer_to,Law_24
MEU_68_3,refer_to,Law_25
MEU_68_4,refer_to,Law_33
MEU_17_5,refer_to,Law_17
MEU_4_1,depend,MEU_75_1
MEU_16_1,depend,MEU_75_1
MEU_16_2,depend,MEU_75_1
MEU_51_2,depend,MEU_75_1
MEU_50_1,depend,MEU_13_1
MEU_50_1,depend,MEU_13_2
MEU_50_1,depend,MEU_13_3
MEU_50_1,depend,MEU_13_4
MEU_50_1,depend,MEU_13_5
MEU_50_1,depend,MEU_13_6
MEU_50_1,depend,MEU_13_7
MEU_50_1,depend,MEU_14_1
MEU_50_1,depend,MEU_15_1
MEU_50_1,depend,MEU_15_2
MEU_50_1,depend,MEU_17_1
MEU_50_1,depend,MEU_17_2
MEU_50_1,depend,MEU_17_3
MEU_50_1,depend,MEU_17_4
MEU_50_1,depend,MEU_17_5
MEU_50_1,depend,MEU_19_1
MEU_50_1,depend,MEU_19_2
MEU_50_1,depend,MEU_20_1
MEU_30_2,depend,MEU_26_1
MEU_30_2,depend,MEU_26_2
MEU_30_2,depend,MEU_26_3
MEU_30_2,depend,MEU_26_4
MEU_30_2,depend,MEU_26_5
MEU_30_2,depend,MEU_26_6
MEU_30_2,depend,MEU_26_7
MEU_30_2,depend,MEU_26_8
MEU_30_2,depend,MEU_26_9
MEU_30_2,depend,MEU_26_10
MEU_30_2,depend,MEU_26_11
MEU_30_2,depend,MEU_26_12
MEU_30_2,depend,MEU_26_13
MEU_30_2,depend,MEU_26_14
MEU_30_2,depend,MEU_26_15
MEU_30_2,depend,MEU_26_16
MEU_30_2,depend,MEU_26_17
MEU_30_2,depend,MEU_26_18
MEU_30_2,depend,MEU_26_19
MEU_30_2,depend,MEU_26_20
MEU_30_2,depend,MEU_26_21
MEU_30_2,depend,MEU_26_22
MEU_30_2,depend,MEU_26_23
MEU_42_1,depend,MEU_39_1
MEU_25_3,depend,MEU_24_2
MEU_25_3,depend,MEU_24_3
